date,amount,price,sid,symbol,value
2001-01-25 23:59:59.999989+00:00,0.47051442910915936,31.84,0,MMM,-14.981179422835634
2001-01-25 23:59:59.999989+00:00,0.7035647279549718,21.36,5,APD,-15.028142589118199
2001-01-25 23:59:59.999989+00:00,0.7139457401237506,21.33,14,APA,-15.228462636839598
2001-01-25 23:59:59.999989+00:00,1.7688679245283019,8.52,17,ADM,-15.070754716981131
2001-01-25 23:59:59.999989+00:00,0.5742725880551302,26.12,21,AZO,-15.0
2001-01-25 23:59:59.999989+00:00,6.521739130434782,2.31,23,BLL,-15.065217391304348
2001-02-01 23:59:59.999989+00:00,-1.7688679245283019,9.09,17,ADM,16.079009433962263
2001-02-01 23:59:59.999989+00:00,0.05254499586747319,27.3,30,BMY,-1.4344783871820181
2001-02-01 23:59:59.999989+00:00,0.02904136135233635,49.79,32,COF,-1.4459693817328267
2001-02-01 23:59:59.999989+00:00,0.15729155625688052,9.45,47,CAG,-1.4864052066275208
2001-02-01 23:59:59.999989+00:00,0.13174602978450392,10.96,94,HUM,-1.4439364864381632
2001-02-01 23:59:59.999989+00:00,0.04919715456348085,29.35,100,IPG,-1.443936486438163
2001-02-01 23:59:59.999989+00:00,0.10358224436428719,13.96,105,KEY,-1.4460081313254491
2001-02-01 23:59:59.999989+00:00,0.3215894179149584,4.54,136,NI,-1.460015957333911
2001-02-01 23:59:59.999989+00:00,0.19592082583964224,7.48,157,PHM,-1.465487777280524
2001-02-01 23:59:59.999989+00:00,0.09856221750431148,14.62,188,WM,-1.4409796199130336
2001-02-08 23:59:59.999989+00:00,-6.521739130434782,2.14,23,BLL,13.956521739130435
2001-02-08 23:59:59.999989+00:00,0.1065601622479911,17.85,31,CPB,-1.9020988961266412
2001-02-08 23:59:59.999989+00:00,0.1511726703661692,12.62,83,GL,-1.907799100021055
2001-02-08 23:59:59.999989+00:00,0.11217191043738235,17.28,118,MAR,-1.938330612357967
2001-02-08 23:59:59.999989+00:00,0.06626023370820558,28.65,142,OMC,-1.8983556957400898
2001-02-08 23:59:59.999989+00:00,0.09366132837903961,20.29,145,PH,-1.9003883528107135
2001-02-08 23:59:59.999989+00:00,-0.19592082583964224,7.85,157,PHM,1.5379784828411915
